trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.1, 'e': 0.3291805473947476}",20,0,-12.47713660797248,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
56,False,"{'a': 0.1, 'e': 0.32259693644685267}",25,15,9.584649710694608,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.3161449977179156}",35,16,23.38542995171082,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.1, 'e': 0.3098220977635573}",20,12,2.2994673097057765,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.1, 'e': 0.30362565580828615}",20,0,-45.00038961826428,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.2975531426921204}",20,6,22.831538994464,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.1, 'e': 0.291602079838278}",20,0,-1.3398950256923159,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.1, 'e': 0.2857700382415124}",25,3,3.5053434075418197,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
63,False,"{'a': 0.1, 'e': 0.2800546374766822}",20,13,1.1253198093014702,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.1, 'e': 0.27445354472714856}",25,0,-18.170440699961958,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
65,False,"{'a': 0.1, 'e': 0.2689644738326056}",30,4,-33.520738110598096,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 1}",1
66,False,"{'a': 0.1, 'e': 0.26358518435595346}",20,6,-31.3068450326322,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.1, 'e': 0.25831348066883436}",20,6,-41.8729218661401,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.1, 'e': 0.2531472110554577}",20,7,2.581016016526216,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.1, 'e': 0.24808426683434853}",20,10,-9.838081120359956,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.1, 'e': 0.24312258149766156}",20,0,11.163142047309531,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.1, 'e': 0.2382601298677083}",25,16,16.21749148570714,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
