date,chg_ted,chg_usd,chg_ffr,chg_cpi,target
8/1/1999,-0.03,0.2912,0.08,0.7,0
9/1/1999,0.16,-2.0297,0.15,0.4,0
10/1/1999,0.43,-1.3285,-0.02,0.7,1
11/1/1999,-0.29,-1.0332,0.22,0.3,1
12/1/1999,-0.1,1.0009,-0.12,0.3,1
1/1/2000,-0.21,0.4062,0.15,0.4,0
2/1/2000,-0.17,-0.1334,0.28,0.5,0
3/1/2000,-0.05,2.2198,0.12,0.7,1
4/1/2000,0.15,0.3689,0.17,1,0
5/1/2000,0.31,0.6943,0.25,-0.1,0
6/1/2000,0.14,3.0954,0.26,0.3,1
7/1/2000,-0.32,-2.5753,0.01,1,0
8/1/2000,-0.18,0.9023,-0.04,0.5,1
9/1/2000,0.08,1.6028,0.02,0,0
10/1/2000,-0.01,1.6261,-0.01,0.9,0
11/1/2000,-0.09,1.67,0,0.3,0
12/1/2000,0.19,0.9696,-0.11,0.3,0
1/1/2001,-0.22,-2.0363,-0.42,0.4,1
2/1/2001,-0.09,-1.1346,-0.49,1,0
3/1/2001,0.08,1.3788,-0.18,0.4,0
4/1/2001,0.21,2.4864,-0.51,0.1,1
5/1/2001,-0.27,1.15,-0.59,0.3,1
6/1/2001,-0.13,0.0972,-0.24,0.9,0
7/1/2001,-0.12,0.9923,-0.2,0.4,0
8/1/2001,-0.02,0.0756,-0.12,-0.3,0
9/1/2001,0.14,-2.4637,-0.58,0,0
10/1/2001,-0.11,-0.4108,-0.58,0.7,1
11/1/2001,-0.01,0.8559,-0.4,-0.5,1
12/1/2001,0.01,1.4137,-0.27,-0.1,1
1/1/2002,-0.07,0.5625,-0.09,-0.1,0
2/1/2002,0.01,1.6023,0.01,0.3,0
3/1/2002,0.02,0.7874,-0.01,0.3,1
4/1/2002,0.06,-1.0061,0.02,0.5,0
5/1/2002,-0.08,-0.8048,0,0.8,0
6/1/2002,0,-3.0468,0,0.2,0
7/1/2002,-0.02,-2.7934,-0.02,0.1,0
8/1/2002,0,-2.5435,0.01,0.4,1
9/1/2002,0.02,1.4243,0.01,0.5,0
10/1/2002,0.02,0.1884,0,0.3,1
11/1/2002,0.03,0.5,-0.41,0.4,1
12/1/2002,-0.02,-1.4709,-0.1,0.3,0
1/1/2003,-0.01,-1.012,0,0.3,0
2/1/2003,-0.02,-2.6284,0.02,0.8,0
3/1/2003,-0.02,-1.0918,-0.01,1,1
4/1/2003,0.01,-0.7138,0.01,0.3,1
5/1/2003,0.05,-0.3467,0,-0.7,1
6/1/2003,-0.01,-4.568,-0.04,-0.3,1
7/1/2003,0,-1.0418,-0.21,0.2,1
8/1/2003,-0.02,1.7906,0.02,0.6,1
9/1/2003,0.02,1.226,-0.02,0.8,0
10/1/2003,0.03,-1.7141,0,0.6,1
11/1/2003,0,-3.5902,-0.01,-0.2,1
12/1/2003,0.03,-0.3236,-0.02,0.1,1
1/1/2004,-0.02,-2.2716,0.02,0.5,1
2/1/2004,-0.05,-1.7488,0.01,0.8,1
3/1/2004,-0.02,0.4741,-0.01,0.4,0
4/1/2004,0.03,1.5494,0,0.4,0
5/1/2004,0.02,0.9879,0,0.3,1
6/1/2004,0,1.4863,0.03,0.8,1
7/1/2004,0.07,-1.3746,0.23,0.7,0
8/1/2004,-0.04,-1.1427,0.17,0.2,1
9/1/2004,-0.01,0.2527,0.18,0.1,1
10/1/2004,0.07,-0.452,0.15,0.6,1
11/1/2004,-0.09,-1.9728,0.17,1,1
12/1/2004,0.08,-3.2827,0.23,0.9,1
1/1/2005,0.02,-0.8684,0.12,0,0
2/1/2005,-0.05,0.9376,0.22,-0.1,1
3/1/2005,0.01,0.7582,0.13,0.8,0
4/1/2005,0.08,-0.933,0.16,0.7,0
5/1/2005,0.06,1.3449,0.21,0.6,1
6/1/2005,0.02,1.1611,0.04,-0.1,0
7/1/2005,-0.05,1.5211,0.22,0.1,1
8/1/2005,-0.04,0.7879,0.24,1.2,0
9/1/2005,0.13,-1.5485,0.12,1.2,1
10/1/2005,-0.03,-0.4493,0.16,2.7,0
11/1/2005,0.01,1.2975,0.22,0.3,1
12/1/2005,0.14,1.4581,0.16,-1,0
1/1/2006,-0.24,-0.7659,0.13,0,1
2/1/2006,-0.05,-1.3086,0.2,1.2,0
3/1/2006,0.09,0.7222,0.1,0.1,1
4/1/2006,0.06,-0.0609,0.2,0.3,1
5/1/2006,0,-1.1282,0.15,1,0
6/1/2006,0.12,-3.2608,0.05,0.6,0
7/1/2006,-0.04,0.8793,0.25,0.5,1
8/1/2006,-0.09,0.3889,0.01,1.1,1
9/1/2006,0.12,-0.7316,0,0.9,1
10/1/2006,-0.12,0.3919,0,-1,1
11/1/2006,-0.03,0.7973,0,-0.9,1
12/1/2006,0.08,-0.8992,-0.01,0.1,1
1/1/2007,-0.13,-0.5927,0.01,1.1,1
2/1/2007,-0.05,1.4184,0.01,0.337,0
3/1/2007,0.08,-0.2861,0,0.789,1
4/1/2007,0.08,-0.827,-0.01,1.062,1
5/1/2007,0.14,-1.3643,0,0.616,1
6/1/2007,0.12,-0.6484,0,0.851,0
7/1/2007,-0.21,-0.2399,0.01,0.479,0
8/1/2007,0.76,-1.4106,-0.24,0.369,1
9/1/2007,0.29,0.0011,-0.08,0.064,1
10/1/2007,-0.35,-1.6002,-0.18,0.88,1
11/1/2007,0.45,-1.9746,-0.27,0.643,0
12/1/2007,0.31,-1.7819,-0.25,1.644,0
1/1/2008,-0.83,1.5142,-0.3,0.611,0
2/1/2008,-0.21,-0.632,-0.96,0.729,0
3/1/2008,0.56,-0.4968,-0.37,0.513,0
4/1/2008,-0.02,-2.3384,-0.33,0.761,1
5/1/2008,-0.55,0.0875,-0.3,0.494,1
6/1/2008,-0.04,0.2723,0.02,1.266,0
7/1/2008,0.26,0.6717,0.01,2.255,0
8/1/2008,-0.09,-0.5146,-0.01,1.553,1
9/1/2008,0.92,3.2074,-0.19,-0.326,0
10/1/2008,1.35,1.4939,-0.84,0.187,0
11/1/2008,-1.25,5.0531,-0.58,-1.882,0
12/1/2008,-0.3,2.3848,-0.23,-3.842,1
1/1/2009,-0.72,-2.1881,-0.01,-1.755,0
2/1/2009,-0.13,0.4377,0.07,0.535,0
3/1/2009,0.1,2.2366,-0.04,0.772,1
4/1/2009,-0.1,0.5271,-0.03,-0.21,1
5/1/2009,-0.31,-1.542,0.03,0.214,1
6/1/2009,-0.2,-3.3841,0.03,0.313,1
7/1/2009,-0.11,-1.9214,-0.05,1.768,1
8/1/2009,-0.08,-0.6121,0,-0.064,1
9/1/2009,-0.08,-1.1953,-0.01,0.719,1
10/1/2009,0.04,-1.2752,-0.03,0.416,0
11/1/2009,0.01,-1.2324,0,0.648,1
